familyname	maxgap	sex
L1M1_5	12.36252739246197	male
L1M1B_5	1.3758981992880024	female
L1M1B_5	1.8680514754880022	male
L1M2_5	3.103820229806402	female
L1M2_5	3.6667365625136057	male
L1M2A_5	0.3689756577660006	female
L1M2A_5	0.4856176263088976	male
L1M2A1_5	0.2376902083703989	female
L1M2A1_5	0.3369699529960002	male
L1M2B_5	0.30207797428010075	female
L1M2B_5	0.24238493700839925	male
L1M2C_5	0.9725070852223965	female
L1M2C_5	1.5354515369227002	male
L1M3A_5	0.42381990119760005	female
L1M3A_5	0.5537460051468983	male
L1M3B_5	0.04622504304697994	female
L1M3B_5	0.0918400790608298	male
L1M3C_5	0.3465473395397698	female
L1M3C_5	0.21153067859528019	male
L1M3D_5	0.06310415024427041	female
L1M3D_5	0.20659078947159015	male
L1M3DE_5	0.13040613340137952	female
L1M3DE_5	0.09103006187230989	male
L1M4B	1.0764097894869025	female
L1M4B	1.2322109366952958	male
L1M6_5end	0.006373013208396901	female
L1M6_5end	0.002518974167147997	male
L1M6B_5end	0.00959738270833499	female
L1M6B_5end	0.027079695247095997	male
L1M7_5end	0.006736288176039024	female
L1M7_5end	0.003562976727257	male
L1MA1	10.537368677712948	female
L1MA1	7.392094454406049	male
L1MA10	0.9421836547384999	female
L1MA10	0.7201139181085985	male
L1MA2	8.288178609024044	female
L1MA2	3.2471510013800184	male
L1MA3	7.7155626043000325	female
L1MA3	6.381743879297005	male
L1MA4	8.96285020816498	female
L1MA4	8.323473121760003	male
L1MA4A	8.213840053990964	female
L1MA4A	10.894126667037995	male
L1MA5	4.755700216462998	female
L1MA5	2.4164664888809853	male
L1MA5A	6.7708751603900055	female
L1MA5A	4.555067372292001	male
L1MA6	5.81789198939299	female
L1MA6	5.018118240303011	male
L1MA7	5.334329443976998	female
L1MA7	2.736748976004037	male
L1MA8	1.9221165085660061	female
L1MA8	1.6427110238253988	male
L1MA9	6.491918908173034	female
L1MA9	6.113594213663987	male
L1MA9_5	0.2210559005890005	female
L1MA9_5	0.3197278990651	male
L1MB1	4.760371028403995	female
L1MB1	4.895521149520988	male
L1MB2	4.502527204139994	female
L1MB2	5.170000958366984	male
L1MB3	6.449396127705029	female
L1MB3	6.5434371029710405	male
L1MB3_5	1.3233789817710004	female
L1MB3_5	1.7008305661789933	male
L1MB4	10.190585363343018	female
L1MB4	6.561646151196953	male
L1MB4_5	0.08946351775492989	female
L1MB4_5	0.19204461915417959	male
L1MB5	3.5915979175199766	female
L1MB5	3.0611047866200067	male
L1MB6_5	0.5299346127574012	female
L1MB6_5	0.2813142657123997	male
L1MB7	5.626547895367025	female
L1MB7	4.4243318004260175	male
L1MB8	6.168729471236986	female
L1MB8	4.637926349221004	male
L1MC1	9.334386244108032	female
L1MC1	14.433812851256903	male
L1MC2	4.615459443664008	female
L1MC2	3.3954601298559908	male
L1MC3	1.5511962142718971	female
L1MC3	2.3791248172358053	male
L1MC4	0.569284914256599	female
L1MC4	0.3914730015514003	male
L1MC4_5end	0.03191176285282005	female
L1MC4_5end	0.07259849053495993	male
L1MC4B	0.11520566012545963	female
L1MC4B	0.12293086868458003	male
L1MC5	0.21458771186938996	female
L1MC5	0.16926432967104033	male
L1MCA_5	2.0684673732090033	female
L1MCA_5	4.1587793009580025	male
L1MCB_5	0.23366779008980032	female
L1MCB_5	0.6234105009068003	male
L1MCC_5	0.027129903060500116	female
L1MCC_5	0.07948529773246049	male
L1MD1	0.8758643483423967	female
L1MD1	0.6610616277082002	male
L1MD1_5	0.05371738271748061	female
L1MD1_5	0.10910957069798011	male
L1MD2	3.367400791978014	female
L1MD2	5.786573591559005	male
L1MD3	1.9902116958107996	female
L1MD3	1.1694302112694999	male
L1MDA_5	1.4662701683201007	female
L1MDA_5	1.2049792415270986	male
L1MDB_5	0.571372247008199	female
L1MDB_5	0.3868262581052999	male
L1ME_ORF2	4.910870065544003	female
L1ME_ORF2	3.62010452720898	male
L1ME1	2.6827057619044012	female
L1ME1	1.7091713356675058	male
L1ME2	0.8375057210874957	female
L1ME2	1.223680046423496	male
L1ME3	0.384098740017901	female
L1ME3	0.29450736831329927	male
L1ME3A	0.2048833632273901	female
L1ME3A	0.37218444381758964	male
L1ME3C_3end	0.11553968437272033	female
L1ME3C_3end	0.05102672239645978	male
L1ME3D_3end	0.06886135946401994	female
L1ME3D_3end	0.033269516824420364	male
L1ME3E_3end	0.04426108443348986	female
L1ME3E_3end	0.045091752296160026	male
L1ME3F_3end	0.13582582782599006	female
L1ME3F_3end	0.04249608622361034	male
L1ME4	0.10382652253127	female
L1ME4	0.029588293228209883	male
L1ME4A	0.07878145731051944	female
L1ME4A	0.07114555050698002	male
L1ME5	5.448812102711474	female
L1ME5	2.804128645910681	male
L1ME5_3end	0.031197288057399852	female
L1ME5_3end	0.03510923168178004	male
L1MEA_5	0.009100236879044044	female
L1MEA_5	0.008314321864062002	male
L1MEB_5	0.02581872668130103	female
L1MEB_5	0.014783939489594	male
L1MEC_5	0.6591944858169043	female
L1MEC_5	0.5918362659940968	male
L1MED_5	0.019909962646370016	female
L1MED_5	0.017011295685281924	male
L1MEE_5	0.029379722319681	female
L1MEE_5	0.014833400156107013	male
L1MEe_5end	0.09159860906471984	female
L1MEe_5end	0.03262667691959997	male
L1MEf_5end	0.3417695210163991	female
L1MEf_5end	0.3197948908049	male
L1MEg_5end	0.12643927493529006	female
L1MEg_5end	0.23113808419152004	male
L1P_MA2	29.95696514483302	female
L1P_MA2	34.67380780135909	male
L1P4a_5end	0.741793565849008	female
L1P4a_5end	5.0319241155141015	male
L1P4b_5end	0.14083892444900936	female
L1P4b_5end	0.3549692874551198	male
L1P4c_5end	0.18695052822512004	female
L1P4c_5end	0.26257847736897055	male
L1P4d_5end	0.1836477385602997	female
L1P4d_5end	0.39816639681679966	male
L1P4e_5end	0.5691789480539953	female
L1P4e_5end	1.131512282761605	male
L1PA10	9.102127470780033	female
L1PA10	17.172199013797922	male
L1PA11	5.089528586269012	female
L1PA11	9.666123078369992	male
L1PA12	4.103946149729012	female
L1PA12	3.373593555403005	male
L1PA12_5	1.9393591750868069	female
L1PA12_5	0.970641177593194	male
L1PA13	5.5067168412520004	female
L1PA13	10.343190707131953	male
L1PA13_5	1.104221835248012	female
L1PA13_5	2.3527532015129964	male
L1PA14	5.439038621563043	female
L1PA14	9.066172383499008	male
L1PA14_5	1.0339621058788993	female
L1PA14_5	1.3267582608095978	male
L1PA15	8.715811343588939	female
L1PA15	21.972752471325066	male
L1PA16	26.76654616590986	female
L1PA16	54.93000696142008	male
L1PA16_5	4.616789345127017	female
L1PA16_5	5.060362089595003	male
L1PA17_5	0.2242430445305601	female
L1PA17_5	0.38814606989011047	male
L1PA2	9.00443242451297	female
L1PA2	6.3983022282950515	male
L1PA3	41.4554010248911	female
L1PA3	28.84636336666017	male
L1PA4	62.259734690849655	female
L1PA4	96.27677869950003	male
L1PA6	34.80452239227998	female
L1PA6	34.20196641440998	male
L1PA7	24.822851702359912	female
L1PA7	30.22862468111998	male
L1PA7_5	25.08253347594018	female
L1PA7_5	27.4238052319497	male
L1PA8	10.375904868779912	female
L1PA8	21.53673254246803	male
L1PB1	19.371134215489974	female
L1PB1	26.24349184717994	male
L1PB2	8.775757769597021	female
L1PB2	14.347368387912013	male
L1PB2c	23.19662465504007	female
L1PB2c	70.5166034706001	male
L1PB3	7.319591867447002	female
L1PB3	12.584283681379986	male
L1PB4	13.97067871618799	female
L1PB4	14.939367670787988	male
L1PBA_5	7.786093702849996	female
L1PBA_5	16.15218529340501	male
L1PBA1_5	5.172416271087997	female
L1PBA1_5	1.8008294067609825	male
L1PBB_5	2.4709280571115997	female
L1PBB_5	1.0857374522660947	male
L1PREC1	39.30022551910997	female
L1PREC1	124.87955076404978	male
L1PREC2	12.792236229779974	female
L1PREC2	37.67714723181007	male
L2	0.19301824464447037	female
L2	0.09709325225836984	male
L2B	0.10787396833392027	female
L2B	0.10752664694092928	male
L2C	0.024230187875833004	female
L2C	0.019251658755307988	male
L2D	0.008617368389339596	female
L2D	0.026370719501109002	male
L3	0.010366725255577997	female
L3	0.012990469792779014	male
L3b_3end	0.011248630562102013	female
L3b_3end	0.030053797045310998	male
L4	0.0047676393140514	female
L4	0.021495684423768008	male
L5	0.004273817071169604	female
L5	0.005898765734382999	male
LOOPER	0.1176336513241103	female
LOOPER	0.054679505902459624	male
LOR1	1.3702186504660006	female
LOR1	0.7008240255132989	male
LOR1a_LTR	1.8269558548470002	female
LOR1a_LTR	1.5136073433823967	male
LOR1b_LTR	0.19489544013700133	female
LOR1b_LTR	0.23061987256419947	male
LOR1I	0.7053389110193038	female
LOR1I	0.6987046857373045	male
LSAU	65.87282544167704	female
LSAU	31.06374887331799	male
LTR06	0.22227552762590008	female
LTR06	0.09057747318619924	male
LTR1	0.5222258639024986	female
LTR1	0.6856438857995002	male
LTR104_Mam	0.0038232487689243005	female
LTR104_Mam	0.003889115981293101	male
LTR108d_Mam	0.016638430901801005	female
LTR108d_Mam	0.0048666847589280415	male
LTR108e_Mam	0.03292968897255599	female
LTR108e_Mam	0.022206759742535	male
LTR10A	3.126028282006004	female
LTR10A	1.1627347085364903	male
LTR10B	3.058896346920001	female
LTR10B	1.6001401387020984	male
LTR10B1	0.396065156359402	female
LTR10B1	0.5184259701219993	male
LTR10B2	0.17253010048989914	female
LTR10B2	0.2439077721966001	male
LTR10C	2.424106925881972	female
LTR10C	4.171581343084995	male
LTR10D	2.843951244256999	female
LTR10D	0.8203024732359978	male
LTR10E	0.5344961723706092	female
LTR10E	1.9988113427453982	male
LTR10F	4.723805811866953	female
LTR10F	3.1545363759520058	male
LTR10G	1.228094026073002	female
