study_accession	sample_accession	experiment_accession	run_accession	read_count	base_count	sample_alias
PRJEB6463	SAMEA2581122	ERX1367199	ERR1295867	65497832	9890172632	HGDP00953
PRJEB6463	SAMEA2581131	ERX1367200	ERR1295868	69466638	10489462338	HGDP00962
PRJEB6463	SAMEA2581145	ERX1367201	ERR1295869	61675188	9312953388	HGDP01303
PRJEB6463	SAMEA2581156	ERX1367202	ERR1295870	71218622	10754011922	HGDP00108
PRJEB6463	SAMEA2581178	ERX1367203	ERR1295871	69758520	10533536520	HGDP00364
PRJEB6463	SAMEA2581038	ERX1367204	ERR1295872	73732992	11133681792	HGDP01234
PRJEB6463	SAMEA2581053	ERX1367205	ERR1295873	67234350	10152386850	HGDP01230
PRJEB6463	SAMEA2581067	ERX1367206	ERR1295874	70565324	10655363924	HGDP01204
PRJEB6463	SAMEA2581080	ERX1367207	ERR1295875	71383954	10778977054	HGDP00716
PRJEB6463	SAMEA2581093	ERX1367208	ERR1295876	67804542	10238485842	HGDP00755
PRJEB6463	SAMEA2581101	ERX1367209	ERR1295877	66025508	9969851708	HGDP00763
PRJEB6463	SAMEA2581111	ERX1367210	ERR1295878	73900518	11158978218	HGDP00790
PRJEB6463	SAMEA2581123	ERX1367211	ERR1295879	68487802	10341658102	HGDP00954
PRJEB6463	SAMEA2581132	ERX1367212	ERR1295880	65689056	9919047456	HGDP00963
PRJEB6463	SAMEA2581146	ERX1367213	ERR1295881	62753872	9475834672	HGDP01304
PRJEB6463	SAMEA2581157	ERX1367214	ERR1295882	61143522	9232671822	HGDP00109
PRJEB6463	SAMEA2581179	ERX1367215	ERR1295883	65972320	9961820320	HGDP00371
PRJEB6463	SAMEA2581039	ERX1367216	ERR1295884	69885204	10552665804	HGDP01236
PRJEB6463	SAMEA2581054	ERX1367217	ERR1295885	67130734	10136740834	HGDP01231
PRJEB6463	SAMEA2581068	ERX1367218	ERR1295886	67343452	10168861252	HGDP01205
PRJEB6463	SAMEA2581082	ERX1367219	ERR1295887	71898820	10856721820	HGDP00719
PRJEB6463	SAMEA2581094	ERX1367220	ERR1295888	68174282	10294316582	HGDP00756
PRJEB6463	SAMEA2581102	ERX1367221	ERR1295889	64874854	9796102954	HGDP00764
PRJEB6463	SAMEA2581112	ERX1367222	ERR1295890	67709348	10224111548	HGDP00791
PRJEB6463	SAMEA2581124	ERX1367223	ERR1295891	68437646	10334084546	HGDP00955
PRJEB6463	SAMEA2581133	ERX1367224	ERR1295892	65457146	9884029046	HGDP00964
PRJEB6463	SAMEA2581147	ERX1367225	ERR1295893	67712116	10224529516	HGDP01305
PRJEB6463	SAMEA2581158	ERX1367226	ERR1295894	72313862	10919393162	HGDP00110
PRJEB6463	SAMEA2581180	ERX1367227	ERR1295895	66166518	9991144218	HGDP00372
PRJEB6463	SAMEA2581040	ERX1367228	ERR1295896	72162336	10896512736	HGDP01237
PRJEB6463	SAMEA2581055	ERX1367229	ERR1295897	67207034	10148262134	HGDP01232
PRJEB6463	SAMEA2581069	ERX1367230	ERR1295898	68543038	10349998738	HGDP01206
PRJEB6463	SAMEA2581084	ERX1367231	ERR1295899	67441966	10183736866	HGDP00721
PRJEB6463	SAMEA2581095	ERX1367232	ERR1295900	63752370	9626607870	HGDP00757
PRJEB6463	SAMEA2581103	ERX1367233	ERR1295901	65988234	9964223334	HGDP00765
PRJEB6463	SAMEA2581113	ERX1367234	ERR1295902	71603456	10812121856	HGDP00828
PRJEB6463	SAMEA2581126	ERX1367235	ERR1295903	73077094	11034641194	HGDP00957
PRJEB6463	SAMEA2581134	ERX1367236	ERR1295904	59553864	8992633464	HGDP00965
PRJEB6463	SAMEA2581149	ERX1367237	ERR1295905	65231040	9849887040	HGDP00099
PRJEB6463	SAMEA2581160	ERX1367238	ERR1295906	69693044	10523649644	HGDP00115
PRJEB6463	SAMEA2581181	ERX1367239	ERR1295907	62640582	9458727882	HGDP00376
PRJEB6463	SAMEA2581041	ERX1367240	ERR1295908	63811058	9635469758	HGDP01238
PRJEB6463	SAMEA2581061	ERX1367241	ERR1295909	62215530	9394545030	HGDP01218
PRJEB6463	SAMEA2581070	ERX1367242	ERR1295910	61777060	9328336060	HGDP01207
PRJEB6463	SAMEA2581085	ERX1367243	ERR1295911	57971952	8753764752	HGDP00747
PRJEB6463	SAMEA2581096	ERX1367244	ERR1295912	59583224	8997066824	HGDP00758
PRJEB6463	SAMEA2581104	ERX1367245	ERR1295913	62551870	9445332370	HGDP00766
PRJEB6463	SAMEA2581115	ERX1367246	ERR1295914	72230744	10906842344	HGDP00946
PRJEB6463	SAMEA2581127	ERX1367247	ERR1295915	94440640	14260536640	HGDP00958
PRJEB6463	SAMEA2581135	ERX1367248	ERR1295916	68674924	10369913524	HGDP00966
PRJEB6463	SAMEA2581150	ERX1367249	ERR1295917	63735920	9624123920	HGDP00100
PRJEB6463	SAMEA2581163	ERX1367250	ERR1295918	61604450	9302271950	HGDP00119
PRJEB6463	SAMEA2581182	ERX1367251	ERR1295919	61512460	9288381460	HGDP00382
PRJEB6463	SAMEA2580809	ERX1367252	ERR1295920	84658474	12783429574	HGDP00460
PRJEB6463	SAMEA2580910	ERX1367253	ERR1295921	65365326	9870164226	HGDP00777
PRJEB6463	SAMEA2580921	ERX1367254	ERR1295922	73758724	11137567324	HGDP00812
PRJEB6463	SAMEA2580929	ERX1367255	ERR1295923	70233868	10605314068	HGDP00821
PRJEB6463	SAMEA2580937	ERX1367256	ERR1295924	72453018	10940405718	HGDP00977
